ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	value specification	is about
ID	AL rdfs:label@en	AL obo:IAO_0000111@en	AI obo:IAO_0000114	AL obo:IAO_0000118@en SPLIT=|	AL obo:IAO_0000115@en SPLIT=|	A obo:IAO_0000119 SPLIT=|	AL obo:IAO_0000112@en SPLIT=|	A obo:IAO_0000117 SPLIT=,	AL obo:IAO_0000116@en SPLIT=|	AL obo:IAO_0000232@en SPLIT=|	A obo:IAO_0000234	A obo:IAO_0000233	CLASS_TYPE	CI	C 'has value specification' exactly 1 %	C 'is about' some %
phaleron-ae:SucheyBrooksAgeEstimate	Phaleron Suchey-Brooks age estimate				A conclusion based on data that summarizes the outcome of age-at-death estimation following the Suchey-Brooks method. It combines the estimates for the left and right pubic symphyses.	Felix Engel		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""",Felix Engel"					subclass	sb:DeterminedAgeAtDeath		
