ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	type	parent class	referenced category labels	unit label	specified value	referenced quality	sorting context	sorted object	sort index	associated axioms
ID	AL rdfs:label@en	AL obo:IAO_0000111@en	AI obo:IAO_0000114	AL obo:IAO_0000118@en SPLIT=|	AL obo:IAO_0000115@en SPLIT=|	A obo:IAO_0000119 SPLIT=|	AL obo:IAO_0000112@en SPLIT=|	A obo:IAO_0000117 SPLIT=,	AL obo:IAO_0000116@en SPLIT=|	AL obo:IAO_0000232@en SPLIT=|	A obo:IAO_0000234	A obo:IAO_0000233	CLASS_TYPE	TYPE	C %	SC %	SC %	SC %	SC %	SC 'is about' exactly 1 %	I 'is about'	I 'sort as'	C %
phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageValueSpecification	Indeterminate sex pubic symphysis morphological stage value specification				A categorical value specification defining an ordinal scale of stages in the degradation of the pubic symphysis in specimens of indeterminate sex.	Phaleron Bioarchaeological Project: Age-at-Death Estimation Scoring Key, version of 16 September 2022.		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""					subclass		sb:PubicSymphysisMorphologicalStageValueSpecification	('has category label' exactly 1 ({phaleron-ae:IndeterminateSexPhase1 , phaleron-ae:IndeterminateSexPhase2, phaleron-ae:IndeterminateSexPhase3, phaleron-ae:IndeterminateSexPhase4, phaleron-ae:IndeterminateSexPhase5, phaleron-ae:IndeterminateSexPhase6 }))							
phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting	Indeterminate sex pubic symphysis morphological stage item sorting				A label sorting specification about the position of a category label within the ordinal scale defined by some 'Indeterminate sex pubic symphysis morphological stage value specification'.	Felix Engel		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""					subclass		rdfbones:LabelSortingSpecification					('is about' exactly 1 phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageValueSpecification)			
phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting01	Phase I for specimens of indeterminate sex							"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""						phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting							phaleron-ae:IndeterminateSexPhase1	#01	
phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting02	Phase II for specimens of indeterminate sex							"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""						phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting							phaleron-ae:IndeterminateSexPhase2	#02	
phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting03	Phase III for specimens of indeterminate sex							"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""						phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting							phaleron-ae:IndeterminateSexPhase3	#03	
phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting04	Phase IV for specimens of indeterminate sex							"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""						phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting							phaleron-ae:IndeterminateSexPhase4	#04	
phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting05	Phase V for specimens of indeterminate sex							"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""						phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting							phaleron-ae:IndeterminateSexPhase5	#05	
phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting06	Phase VI for specimens of indeterminate sex							"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""						phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalStageItemSorting							phaleron-ae:IndeterminateSexPhase6	#06	
